HCL AppScan on Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Attributes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Description,Report Date U T C,Total Issues In The Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_Static_jazzcalm_workspace_2023-02-17_04-22-33_2023-03-02,,2023-03-02T10:34:18Z,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Attributes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Impact,Business Unit,Description,Hosts,Max Severity,Risk Rating,Testing Status,Url,Date Created,Last Updated,Availability Requirement,Collateral Damage Potential,Confidentiality Requirement,Integrity Requirement,Target Distribution,Business Owner,Development Contact,Tester,,,,,,,,,,,,,,,,
9ea46692-ccae-ed11-9173-14cb6572319f,Medium,2,Validation Required,Validate and sanitize all externally supplied data that will be used,Insufficient Process Validation,It might be possible to undermine application logic,Insecure web application programming or configuration,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,20,,,java.util.Properties.setProperty(String;String):Object com.ibm.team.install.calm.devops.Deployer:325,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,325,com.ibm.team.install.calm.devops.Deployer.setRuntimeProperties():void,,Sast,,0,,,,,,com.ibm.team.install.calm.devops.Deployer,f8a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
89a56398-ccae-ed11-9173-14cb6572319f,Medium,2,Validation Required,Validate and sanitize all externally supplied data that will be used,Insufficient Process Validation,It might be possible to undermine application logic,Insecure web application programming or configuration,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,20,,,java.util.Properties.setProperty(String;String):Object com.ibm.team.install.calm.devops.Deployer:329,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,329,com.ibm.team.install.calm.devops.Deployer.setRuntimeProperties():void,,Sast,,0,,,,,,com.ibm.team.install.calm.devops.Deployer,f8a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
67a66398-ccae-ed11-9173-14cb6572319f,Medium,2,Validation Required,Validate and sanitize all externally supplied data that will be used,Insufficient Process Validation,It might be possible to undermine application logic,Insecure web application programming or configuration,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,20,,,java.util.Properties.setProperty(String;String):Object com.ibm.team.repository.provision.internal.InstallServlet:218,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,218,com.ibm.team.repository.provision.internal.InstallServlet.getProfiles(java.lang.String;java.util.List):java.util.List,,Sast,,0,,,,,,com.ibm.team.repository.provision.internal.InstallServlet,faa26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
e3a56398-ccae-ed11-9173-14cb6572319f,Medium,2,Validation Required,Validate and sanitize all externally supplied data that will be used,Insufficient Process Validation,It might be possible to undermine application logic,Insecure web application programming or configuration,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,20,,,org.apache.http.conn.ssl.SSLSocketFactory(SSLContext):void com.ibm.team.license.signer.RemoteSignPolicyTask:225,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,225,com.ibm.team.license.signer.RemoteSignPolicyTask.getHttpsScheme():org.apache.http.conn.scheme.Scheme,,Sast,,0,,,,,,com.ibm.team.license.signer.RemoteSignPolicyTask,eaa26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
8ba56398-ccae-ed11-9173-14cb6572319f,Medium,2,Validation Required,Validate and sanitize all externally supplied data that will be used,Insufficient Process Validation,It might be possible to undermine application logic,Insecure web application programming or configuration,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,20,,,java.util.Properties.setProperty(String;String):Object com.ibm.team.install.calm.devops.Deployer:333,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,333,com.ibm.team.install.calm.devops.Deployer.setRuntimeProperties():void,,Sast,,0,,,,,,com.ibm.team.install.calm.devops.Deployer,f8a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
92f85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Cryptography,Review the use of the calls to ensure that encryption has been implemented correctly and provides the expected level of security,Brute Force,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations",Sensitive information stored to disk in cleartext,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,310,,,com.urbancode.commons.util.ssl.LoggingX509TrustManager.extractNames(X509Certificate[]):List:195,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.urbancode.commons.util.ssl.LoggingX509TrustManager.extractNames(java.security.cert.X509Certificate[]):java.util.List,,Sast,,0,,,,,,com\urbancode\commons\util\ssl\LoggingX509TrustManager.java,d9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
95f85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Cryptography,Review the use of the calls to ensure that encryption has been implemented correctly and provides the expected level of security,Brute Force,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations",Sensitive information stored to disk in cleartext,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,310,,,com.urbancode.commons.util.ssl.StoredX509Cert.extractNames():List:64,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.urbancode.commons.util.ssl.StoredX509Cert.extractNames():java.util.List,,Sast,,0,,,,,,com\urbancode\commons\util\ssl\StoredX509Cert.java,d9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
06a46692-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.releng.data.EclipseUnit.generatePluginFeatureMap(String;boolean):Map:127,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.releng.data.EclipseUnit.generatePluginFeatureMap(java.lang.String;boolean):java.util.Map,,Sast,,0,,,,,,com\ibm\releng\data\EclipseUnit.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
aca66398-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.add(int;Object):void:51,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.add(int;java.lang.Object):void,,Sast,,0,,,,,,com\ibm\team\repository\provision\internal\json\JSONArrayProxy.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
72a76398-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.team.repository.provision.internal.restcmd.StopAllRestCommand.processRestCmd(String;HttpServletRequest;HttpServletResponse):void:70,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.team.repository.provision.internal.restcmd.StopAllRestCommand.processRestCmd(java.lang.String;javax.servlet.http.HttpServletRequest;javax.servlet.http.HttpServletResponse):void,,Sast,,0,,,,,,com\ibm\team\repository\provision\internal\restcmd\StopAllRestCommand.java,e7a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
75a76398-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.team.repository.provision.internal.restcmd.StopAllRestCommand.processRestCmd(String;HttpServletRequest;HttpServletResponse):void:76,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.team.repository.provision.internal.restcmd.StopAllRestCommand.processRestCmd(java.lang.String;javax.servlet.http.HttpServletRequest;javax.servlet.http.HttpServletResponse):void,,Sast,,0,,,,,,com\ibm\team\repository\provision\internal\restcmd\StopAllRestCommand.java,e7a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
09a46692-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.releng.data.EclipseUnit.generatePluginFeatureMap(String;boolean):Map:129,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.releng.data.EclipseUnit.generatePluginFeatureMap(java.lang.String;boolean):java.util.Map,,Sast,,0,,,,,,com\ibm\releng\data\EclipseUnit.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
afa66398-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.add(int;Object):void:53,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.add(int;java.lang.Object):void,,Sast,,0,,,,,,com\ibm\team\repository\provision\internal\json\JSONArrayProxy.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
0ca46692-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.releng.helper.RTCHelper.printStackAsString(Throwable):String:809,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.releng.helper.RTCHelper.printStackAsString(java.lang.Throwable):java.lang.String,,Sast,,0,,,,,,com\ibm\releng\helper\RTCHelper.java,e7a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
b2a66398-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.add(int;Object):void:55,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.add(int;java.lang.Object):void,,Sast,,0,,,,,,com\ibm\team\repository\provision\internal\json\JSONArrayProxy.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
78a76398-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.team.repository.provision.internal.restcmd.StopBundleRestCommand.processRestCmd(String;HttpServletRequest;HttpServletResponse):void:66,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.team.repository.provision.internal.restcmd.StopBundleRestCommand.processRestCmd(java.lang.String;javax.servlet.http.HttpServletRequest;javax.servlet.http.HttpServletResponse):void,,Sast,,0,,,,,,com\ibm\team\repository\provision\internal\restcmd\StopBundleRestCommand.java,e7a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
b5a66398-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.add(int;Object):void:57,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.add(int;java.lang.Object):void,,Sast,,0,,,,,,com\ibm\team\repository\provision\internal\json\JSONArrayProxy.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
25a36692-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.build.block.udeploy.ant.tasks.CreateComponentVersionTask.execute():void:149,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.build.block.udeploy.ant.tasks.CreateComponentVersionTask.execute():void,,Sast,,0,,,,,,com\ibm\build\block\udeploy\ant\tasks\CreateComponentVersionTask.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
b8a66398-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.add(Object):boolean:75,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.add(java.lang.Object):boolean,,Sast,,0,,,,,,com\ibm\team\repository\provision\internal\json\JSONArrayProxy.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
0fa46692-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.releng.helper.RTCHelper.printStackAsString(Throwable):String:819,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.releng.helper.RTCHelper.printStackAsString(java.lang.Throwable):java.lang.String,,Sast,,0,,,,,,com\ibm\releng\helper\RTCHelper.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
7ba76398-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.team.repository.provision.internal.restcmd.StopBundleRestCommand.processRestCmd(String;HttpServletRequest;HttpServletResponse):void:73,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.team.repository.provision.internal.restcmd.StopBundleRestCommand.processRestCmd(java.lang.String;javax.servlet.http.HttpServletRequest;javax.servlet.http.HttpServletResponse):void,,Sast,,0,,,,,,com\ibm\team\repository\provision\internal\restcmd\StopBundleRestCommand.java,e7a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
12a46692-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.releng.helper.XMLHelper.generatePluginFeatureMap(String;Set;boolean):Map:410,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.releng.helper.XMLHelper.generatePluginFeatureMap(java.lang.String;java.util.Set;boolean):java.util.Map,,Sast,,0,,,,,,com\ibm\releng\helper\XMLHelper.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
bca66398-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.add(Object):boolean:77,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.add(java.lang.Object):boolean,,Sast,,0,,,,,,com\ibm\team\repository\provision\internal\json\JSONArrayProxy.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
15a46692-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.releng.helper.XMLHelper.generatePluginFeatureMap(String;Set;boolean):Map:412,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.releng.helper.XMLHelper.generatePluginFeatureMap(java.lang.String;java.util.Set;boolean):java.util.Map,,Sast,,0,,,,,,com\ibm\releng\helper\XMLHelper.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
bea66398-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.add(Object):boolean:79,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.add(java.lang.Object):boolean,,Sast,,0,,,,,,com\ibm\team\repository\provision\internal\json\JSONArrayProxy.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
2ba36692-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.build.block.udeploy.ant.tasks.GetComponentVersionHashTask.execute():void:89,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.build.block.udeploy.ant.tasks.GetComponentVersionHashTask.execute():void,,Sast,,0,,,,,,com\ibm\build\block\udeploy\ant\tasks\GetComponentVersionHashTask.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
c1a66398-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.add(Object):boolean:81,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.add(java.lang.Object):boolean,,Sast,,0,,,,,,com\ibm\team\repository\provision\internal\json\JSONArrayProxy.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
c4a66398-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.add(Object):boolean:83,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.add(java.lang.Object):boolean,,Sast,,0,,,,,,com\ibm\team\repository\provision\internal\json\JSONArrayProxy.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
c7a66398-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.addAll(Collection):boolean:95,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.addAll(java.util.Collection):boolean,,Sast,,0,,,,,,com\ibm\team\repository\provision\internal\json\JSONArrayProxy.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
caa66398-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.addAll(Collection):boolean:97,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.addAll(java.util.Collection):boolean,,Sast,,0,,,,,,com\ibm\team\repository\provision\internal\json\JSONArrayProxy.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
cda66398-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.addAll(Collection):boolean:99,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.addAll(java.util.Collection):boolean,,Sast,,0,,,,,,com\ibm\team\repository\provision\internal\json\JSONArrayProxy.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
d0a66398-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.addAll(Collection):boolean:101,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.addAll(java.util.Collection):boolean,,Sast,,0,,,,,,com\ibm\team\repository\provision\internal\json\JSONArrayProxy.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
d3a66398-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.addAll(Collection):boolean:103,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.team.repository.provision.internal.json.JSONArrayProxy.addAll(java.util.Collection):boolean,,Sast,,0,,,,,,com\ibm\team\repository\provision\internal\json\JSONArrayProxy.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
37a36692-ccae-ed11-9173-14cb6572319f,Low,1,Improper Handling of Exceptional Conditions,"Log the full error message details privately, and display a generic error message to the user",Information Leakage,"It is possible to retrieve the absolute path of the web server installation, which might help an attacker to develop further attacks and to gain information about the file system structure of the web application","Exceptions and error messages, which may contain sensitive debugging information, are presented to users",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,497,,,com.ibm.build.block.udeploy.ant.tasks.RequestApplicationProcessTask.execute():void:56,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.ibm.build.block.udeploy.ant.tasks.RequestApplicationProcessTask.execute():void,,Sast,,0,,,,,,com\ibm\build\block\udeploy\ant\tasks\RequestApplicationProcessTask.java,e9a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
